Source,Order,country,requirements,requirements1,requirements2,duration,qual,degree,Asterisk,Notes
redcap2018,,Algeria,Medical school,,,48,Physician specialist,Physician specialist,,
redcap2018,,Algeria,Nursing degree,,,36,Other,Certificate,,
redcap2018,87,Angola,Nursing diploma,,,36,Other,Diploma,,
redcap2018,163,Angola,Medical school,,,48,Physician specialist,Physician specialist,,
redcap2018,90,Benin,Nursing diploma,,,24,Master's degree,Master's degree,,"3 programs currently available in Burundi: INSS, Mwaro, and Hope Africa University"
AAAC,79,Benin,Medical school,,,48,Physician specialist,Physician specialist,,
redcap2018,,Botswana,Nursing degree,,,12,Other,Diploma,,
redcap2018,,Botswana,Medical school,,,48,Physician specialist,Physician specialist,,
AAAC,72,Burkina Faso,Nursing degree,,,24,Other,Diploma,,
redcap2018,167,Burkina Faso,Medical school,,,48,Physician specialist,Physician specialist,,
redcap2018,130,Burundi,Secondary school,,,42,Bachelor's degree,Bachelor's degree,,"Senior Anesthesia Technicians - There are 3 of the above mentioned programs currently available in Burundi: INSS, Mwaro, and Hope Africa University"
redcap2018,168,Burundi,Medical school,,,60,Physician specialist,Physician specialist,,"First year, 3 residents enrolled 2018"
redcap2018,169,Cabo Verde,,,,,No programs,No programs,,
Fred,,Cameroon,Medical school,,,60,Physician specialist,Physician specialist,,
AAAC,76,Cameroon,Nursing diploma,,,24,Other,Diploma,,
redcap2018,94,Central African Republic,Nursing diploma,,,24,Unverified,Master's degree,Unclear if this program exists,CONFLICTS WITH EUGENE WHO SAYS THERE IS NOTHING. Single source of data; dependent on foreign faculty/benin. confirmed no physician training.
redcap2018,95,Chad,,,,,No programs,No programs,,We have a comment about a private school that is note recognized by in country anesthetists. Who is it recognized by?
Manual,,Comoros,,,,,No programs,No programs,,
redcap2018,96,Congo (Brazzaville),Nursing diploma,,,24,Other,See note,,Assistant sanitaire en anesthésie-réanimation
redcap2018,97,Cote D'Ivoire,Nursing diploma,,,36,Other,Diploma,,"Original survey reported 24 months, but phone states 36 months"
redcap2018,173,Cote D'Ivoire,Medical school,,,48,Physician specialist,Physician specialist,,
,,Dijbouti,,,,,No programs,,,NONE - via REDCAP doc in Somalia
original,11,DRC,Nursing diploma,Medical technology institute,,9,Other,Diploma,,Does this exist?
redcap2018,99,DRC,Nursing diploma,,,36,Other,Diploma,,
redcap2018,175,DRC,Medical school,,,60,Physician specialist,Physician specialist,,Was duplicate entry in redcap 2018 with transposed data #29 adn 30 in redcap2018
redcap2018,,Egypt,Medical school,,,48,Physician specialist,Physician specialist,,
,,Equatorial Guinea,,,,,No data,,,
redcap2018,100,Eritrea,Nursing diploma,,,36,Other,Diploma,,confirmed no physician training
redcap2018,101,Ethiopia,Nursing diploma,,,12,Other,Certificate,,
redcap2018,140,Ethiopia,Bachelor's degree,,,24,Master's degree,Master's degree,,
redcap2018,177,Ethiopia,Medical school,,,36,Physician specialist,Physician specialist,,
redcap2018,139,Ethiopia,Secondary school,,,48,Bachelor's degree,Bachelor's degree,,
redcap2018,103,Gabon,Nursing diploma,,,36,Master's degree,Master's degree,,"original said a certificate, phone said masters"
redcap2018,179,Gabon,Medical school,,,48,Physician specialist,Physician specialist,,
original,18,Gambia,Nursing diploma,,,,Bachelor's degree,Bachelor's degree,,confirmed no physician training.
AAAC,74,Ghana,Nursing diploma,Physician assistant,,24,Bachelor's degree,Bachelor's degree,,"Used to be an advanced diploma as well, but now on BSc"
Fred,,Ghana,Medical school,,,36,Physician specialist,Physician specialist,,See Fred's email/whatsapp screenshot
redcap2018,104,Guinea,,,,,No programs,No programs,,Bachelors to start in 2018
redcap2018,182,Guinea-Bissau,,,,,No programs,No programs,,
AAAC,80,Kenya,Diploma in clinical medicine,,,18,Other,Advanced diploma,,"degree = Diploma ""CO-Anesthetists"""
original,27,Kenya,Nursing degree,,,24,Other,KRNA,,Newton's program
fred,,Kenya,Medical school,,,48,Physician specialist,Physician specialist,,
redcap2018,107,Lesotho,,,,,No programs,No programs,,"Old program closed 10 years ago, planning to open new NPA training program 2018-19"
redcap2018,108,Liberia,Nursing diploma,,,24,Other,Diploma,,must be a registered nurse by any means/degree: diploma or university. confirmed no physician training
,,Libya,,,,,No data,,,
,,Madagascar,Nursing degree,,,24,Master's degree,Master's degree,,
